com.venky.core.math.GCDFinderTest#testGcdIntInt,
com.venky.network.shortestpath.DijkstraTest#testShortestPath,
com.venky.core.math.GCDFinderTest#testGcdIntArray,
com.venky.core.date.DateUtilTest#test,
com.venky.core.generic.GenericsTest#testGenericType,
com.venky.xml.SerializationTest#test,
com.venky.core.math.DoubleUtilsTest#testRound,
com.venky.core.date.DateUtilTest#testIsoDateTime,
com.venky.xml.SerializationTest#test2,
com.venky.core.util.PackageUtilTest#testDirectory,
com.venky.core.io.ByteArrayOutputStreamTest#test,
com.venky.core.checkpoint.CheckpointedTest#test,ByteArrayOutputStream_FlushBeforeRetrieve@com.venky.core.util.ObjectUtil.deepClone(ObjectUtil.java:79)
com.venky.cache.CacheTest#test,
com.venky.core.util.PackageUtilTest#testJar,
com.venky.core.string.StringUtilTest#testPlural,
com.venky.core.checkpoint.CheckpointedTest#testBucket,ByteArrayOutputStream_FlushBeforeRetrieve@com.venky.core.util.ObjectUtil.deepClone(ObjectUtil.java:79)
com.venky.clustering.ClusterTest#test,
com.venky.core.log.TimerTest#test,
com.venky.cache.CacheTest#testPersistentCache,
com.venky.cache.CacheTest#testJDKProxySerialization,Closeable_MultipleClose@com.venky.cache.Store.close(Store.java:58)
